iter	Passed	Remaining
0	109	109852
1	167	83659
2	241	80215
3	296	73717
4	352	70134
5	397	65923
6	457	64875
7	514	63838
8	573	63200
9	646	64033
10	756	67973
11	828	68233
12	897	68158
13	961	67743
14	1023	67201
15	1097	67523
16	1206	69749
17	1294	70605
18	1358	70132
19	1435	70326
20	1507	70271
21	1571	69876
22	1636	69509
23	1699	69129
24	1758	68578
25	1802	67540
26	1856	66910
27	1889	65581
28	1940	64973
29	1995	64523
30	2040	63774
31	2096	63410
32	2152	63076
33	2202	62579
34	2257	62247
35	2310	61861
36	2366	61597
37	2478	62745
38	2560	63084
39	2616	62807
40	2649	61961
41	2707	61760
42	2764	61525
43	2847	61860
44	2901	61575
45	2958	61352
46	3028	61401
47	3095	61402
48	3186	61847
49	3280	62325
50	3371	62733
51	3445	62819
52	3562	63660
53	3670	64308
54	3737	64222
55	3804	64136
56	3866	63972
57	3934	63906
58	4002	63838
59	4057	63562
60	4110	63267
61	4174	63162
62	4235	62987
63	4298	62868
64	4364	62786
65	4432	62729
66	4497	62635
67	4570	62638
68	4653	62783
69	4730	62847
70	4786	62628
71	4849	62501
72	4926	62563
73	4996	62521
74	5061	62425
75	5124	62308
76	5182	62126
77	5247	62024
78	5311	61924
79	5376	61826
80	5448	61819
81	5491	61476
82	5555	61382
83	5625	61343
84	5691	61262
85	5751	61131
86	5806	60935
87	5870	60836
88	5935	60756
89	5991	60576
90	6055	60492
91	6125	60456
92	6192	60397
93	6254	60282
94	6322	60228
95	6374	60027
96	6433	59887
97	6490	59737
98	6552	59637
99	6613	59518
100	6673	59399
101	6734	59289
102	6801	59229
103	6846	58985
104	6902	58838
105	6966	58755
106	7035	58716
107	7095	58604
108	7162	58548
109	7220	58417
110	7285	58349
111	7341	58211
112	7394	58044
113	7449	57897
114	7508	57784
115	7560	57618
116	7599	57353
117	7651	57190
118	7705	57046
119	7759	56901
120	7830	56887
121	7941	57152
122	7976	56872
123	8028	56719
124	8087	56612
125	8154	56563
126	8206	56411
127	8271	56346
128	8318	56164
129	8378	56068
130	8435	55957
131	8485	55795
132	8540	55673
133	8599	55575
134	8650	55425
135	8711	55343
136	8782	55321
137	8838	55209
138	8914	55219
139	8965	55073
140	9026	54990
141	9091	54933
142	9160	54899
143	9217	54791
144	9293	54802
145	9351	54701
146	9427	54703
147	9498	54682
148	9581	54723
149	9641	54637
150	9707	54581
151	9769	54502
152	9830	54421
153	9890	54335
154	9945	54218
155	9999	54098
156	10091	54187
157	10155	54120
158	10183	53863
159	10222	53669
160	10260	53469
161	10303	53300
162	10349	53143
163	10393	52983
164	10457	52920
165	10530	52908
166	10597	52861
167	10660	52792
168	10705	52641
169	10751	52492
170	10796	52341
171	10845	52208
172	10892	52068
173	10939	51931
174	10997	51847
175	11070	51831
176	11124	51726
177	11193	51693
178	11258	51639
179	11320	51572
180	11378	51484
181	11435	51396
182	11504	51360
183	11565	51290
184	11622	51203
185	11681	51122
186	11735	51020
187	11794	50940
188	11857	50879
189	11949	50942
190	12013	50885
191	12068	50786
192	12128	50713
193	12178	50596
194	12231	50492
195	12283	50387
196	12343	50313
197	12386	50172
198	12426	50020
199	12469	49877
200	12519	49764
201	12571	49664
202	12625	49570
203	12677	49465
204	12737	49396
205	12789	49297
206	12844	49206
207	12894	49098
208	12944	48990
209	13001	48910
